Latitude,Longitude,YEAR,Rain,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Humidity,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Sunlight,Sunlight_1,Sunlight_2,Sunlight_3,Sunlight_4,Sunlight_5,Temperature,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,AESR_0,AESR_1,AESR_2,AESR_3,AESR,Crop_Yield_3,Crop_Yield_2,Crop_Yield_1,Crop_Yield
29.9880774,77.5081299470512,2004,0.0284212231636047,0.0033476725,0.011387074,0.008390715,0.002194006,0.003101755,372.10860443115234,64.58584,74.571945,83.71907,76.289505,72.942245,79492671.0,19492834.0,16114035.0,13631915.0,16011093.0,14242794.0,1514.696319580078,305.37378,304.47107,303.30133,302.79434,298.7558,0,0,0,1,9.1,1.1666666666666667,0.4942857142857143,0.8493150684931507,0.8470149253731343
29.9880774,77.5081299470512,2005,0.0395997818559408,0.0044866093,0.0119899735,0.008098332,0.014980666,4.420057e-05,357.4387969970703,42.471626,83.18326,81.76021,81.53128,68.492424,77370850.0,19992984.0,13774815.0,15080891.0,12894390.0,15627770.0,1518.5154113769531,308.69788,303.2853,303.54034,302.49655,300.49533,0,0,0,1,9.1,0.4942857142857143,0.8493150684931507,0.8470149253731343,0.8529950300810882
29.9880774,77.5081299470512,2006,0.0193573553115129,0.003002029,0.009008346,0.00436195,0.002601985,0.00038304552,344.6536178588867,50.205597,79.53654,77.95386,76.082855,60.87477,79775763.0,20122000.0,13982053.0,14606477.0,15838733.0,15226500.0,1520.096435546875,306.79904,304.27435,304.1715,302.93097,301.92056,0,0,0,1,9.1,0.8493150684931507,0.8470149253731343,0.8529950300810882,0.8581205580415898
29.9880774,77.5081299470512,2007,0.0246667098253965,0.0043585487,0.007061392,0.010848774,0.0022087395,0.00018925592,355.9835777282715,59.67817,79.509315,81.97676,78.0974,56.721935,77574024.0,17921954.0,15437463.0,12890665.0,15247156.0,16076786.0,1519.5627136230469,306.78833,304.2779,303.73663,303.09167,301.66818,0,0,0,1,9.1,0.8470149253731343,0.8529950300810882,0.8581205580415898,0.6727456940222898
29.9880774,77.5081299470512,2008,0.0389050897210836,0.014068387,0.011440339,0.009530783,0.003181085,0.000684496,397.5193481445313,77.25594,84.73996,85.559135,80.36438,69.59993,71592553.0,14800509.0,13804952.0,12386453.0,15718860.0,14881779.0,1512.9714965820312,303.6472,303.2595,302.74313,302.32028,301.0014,0,0,0,1,9.1,0.8529950300810882,0.8581205580415898,0.6727456940222898,1.0480961923847696
29.9880774,77.5081299470512,2009,0.029112521559,0.0008454211,0.009187402,0.011009697,0.00784448,0.00022552162,329.5952682495117,34.616386,74.30714,82.28612,80.7715,57.61413,82392996.0,22201496.0,16064596.0,14554668.0,14096170.0,15476066.0,1521.9806213378906,309.27252,305.17258,303.819,302.82327,300.89325,0,0,0,1,9.1,0.8581205580415898,0.6727456940222898,1.0480961923847696,1.0410557184750733
29.9880774,77.5081299470512,2010,0.0578170586377382,0.0018120967,0.024634976,0.012267625,0.018457532,0.0006448291,369.5632095336914,49.632668,81.485504,84.64343,85.48366,68.31795,70865187.0,20482974.0,12379680.0,11507721.0,11311318.0,15183494.0,1516.9481811523438,307.66745,303.7629,303.008,301.31433,301.1955,0,0,0,1,9.1,0.6727456940222898,1.0480961923847696,1.0410557184750733,1.2015915119363396
29.9880774,77.5081299470512,2011,0.0340037047863006,0.007322043,0.007999739,0.013725007,0.0047189295,0.00023798645,376.7403259277344,67.89845,83.11644,83.41837,79.484566,62.822495,73159371.0,17918906.0,13224888.0,12448760.0,14289863.0,15276954.0,1515.2433471679688,305.18906,303.30264,303.0276,302.62296,301.1011,0,0,0,1,9.1,1.0480961923847696,1.0410557184750733,1.2015915119363396,1.2033195020746887
29.44800635,77.74068502568672,1982,0.0192768890410661,0.00071282685,0.008117598,0.009874163,0.0003717132,0.00020058826,320.5632209777832,45.696384,65.73047,86.37337,65.95568,56.80732,81882347.0,20835820.0,15494690.0,12926559.0,17449572.0,15175706.0,1521.473663330078,308.11212,305.77438,302.76007,303.8595,300.9676,0,0,0,1,9.1,0.6666666666666667,0.7777777777777777,0.5,0.2727272727272727
29.44800635,77.74068502568672,1983,0.0341634936630725,0.0017010346,0.016086737,0.012122566,0.003859911,0.00039324537,359.7404327392578,44.363663,80.49184,86.45752,84.65457,63.772842,75192137.0,20509048.0,13968847.0,12039701.0,13230644.0,15443897.0,1516.5484313964844,307.95587,303.85504,302.48987,302.0234,300.22424,0,0,0,1,9.1,0.7777777777777777,0.5,0.2727272727272727,0.7777777777777777
